Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,27.790001,29.450001,26.799999,27.350000,25.403223,43732500
2011-02-01,27.850000,30.150000,26.500000,28.900000,26.842890,37220878
2011-03-01,29.219999,31.400000,27.889999,30.830000,28.635511,37149192
2011-04-01,31.100000,32.040001,29.719999,31.530001,29.285686,26751100
2011-05-01,31.480000,32.009998,28.500000,29.280001,27.195845,46768644
2011-06-01,29.350000,29.350000,23.750000,26.500000,24.613726,87434800
2011-07-01,26.510000,29.950001,24.770000,29.299999,27.214418,58880187
2011-08-01,29.510000,31.200001,25.750000,31.139999,28.923449,61408400
2011-09-01,31.549999,33.310001,29.700001,32.180000,29.889423,46971600
2011-10-01,32.139999,36.200001,30.230000,35.750000,33.205307,35984000
2011-11-01,34.619999,36.000000,32.840000,35.299999,32.787334,29997900
2011-12-01,35.849998,37.900002,35.060001,36.419998,33.827614,36057000
2012-01-01,36.490002,36.610001,33.570000,34.599998,32.137165,42548300
2012-02-01,34.639999,36.060001,32.360001,35.900002,33.344635,49931900
2012-03-01,35.790001,38.669998,34.259998,36.000000,33.437511,57835600
2012-04-01,36.000000,36.549999,33.470001,34.849998,32.369366,46101500
2012-05-01,34.849998,34.849998,30.709999,31.389999,29.155655,48617400
2012-06-01,30.809999,33.740002,30.010000,30.389999,28.226835,43174700
2012-07-01,30.110001,30.480000,27.530001,29.340000,27.251572,51732700
2012-08-01,29.139999,33.849998,28.049999,32.610001,30.288815,59174400
2012-09-01,32.480000,36.400002,32.250000,35.009998,32.517982,47191700
2012-10-01,34.919998,38.470001,34.799999,36.950001,34.319889,41450400
2012-11-01,37.400002,40.000000,36.200001,38.799999,36.038204,43237700
2012-12-01,39.000000,42.950001,38.299999,42.189999,39.186909,51384200
2013-01-01,42.189999,46.750000,41.630001,43.740002,40.626575,59394900
2013-02-01,43.730000,43.779999,40.849998,42.950001,40.054890,39260300
2013-03-01,42.700001,45.279999,41.669998,44.490002,41.491085,41855100
2013-04-01,44.599998,49.779999,43.459999,49.150002,45.836967,40887300
2013-05-01,49.150002,50.270000,47.849998,49.919998,46.605244,39425500
2013-06-01,49.910000,49.990002,44.400002,48.470001,45.251526,45933800
2013-07-01,48.000000,49.209999,46.650002,48.599998,45.372894,34593300
2013-08-01,49.139999,56.750000,48.169998,55.139999,51.920231,62719500
2013-09-01,56.189999,59.320000,53.770000,54.000000,50.846794,42814800
2013-10-01,54.400002,56.470001,50.740002,52.599998,49.528545,49139200
2013-11-01,51.990002,53.950001,50.500000,51.110001,48.125553,36943100
2013-12-01,50.900002,51.560001,48.000000,48.830002,45.978687,28560200
2014-01-01,48.830002,49.240002,42.029999,43.240002,40.715107,64511200
2014-02-01,43.099998,43.209999,39.290001,42.919998,40.763763,51105300
2014-03-01,42.919998,47.130001,42.919998,45.299999,43.024197,58529100
2014-04-01,45.480000,50.630001,45.189999,50.400002,47.867973,47311800
2014-05-01,50.400002,52.480000,48.029999,48.200001,45.778503,37335300
2014-06-01,48.310001,53.880001,48.220001,52.980000,50.318363,35603800
2014-07-01,53.450001,58.450001,52.450001,55.500000,52.711758,33187000
2014-08-01,56.000000,60.480000,55.740002,60.110001,57.540028,39900500
2014-09-01,60.610001,60.720001,55.650002,58.240002,55.749977,44047500
2014-10-01,57.389999,64.559998,55.419998,64.489998,61.732754,68098600
2014-11-01,64.599998,69.150002,62.730000,66.209999,63.379223,40252300
2014-12-01,65.349998,66.150002,55.799999,63.439999,60.727650,457811218
2015-01-01,63.439999,64.800003,60.380001,64.379997,61.627460,53615900
2015-02-01,64.620003,67.980003,63.240002,64.430000,62.199020,41283000
2015-03-01,64.500000,65.459999,61.049999,63.299999,61.108150,51071900
2015-04-01,63.349998,66.000000,59.480000,64.400002,62.170067,50709400
2015-05-01,64.400002,65.889999,63.299999,64.449997,62.218330,38120400
2015-06-01,64.440002,69.000000,63.880001,65.680000,63.405743,57110100
2015-07-01,65.290001,71.870003,63.250000,71.870003,69.381401,104738000
2015-08-01,71.730003,72.300003,62.500000,71.750000,69.799507,60390500
2015-09-01,68.470001,72.470001,67.930000,69.559998,67.669037,76064900
2015-10-01,70.209999,71.790001,58.799999,68.720001,66.851883,73325200
2015-11-01,60.099998,60.099998,53.119999,55.040001,53.543762,134031000
2015-12-01,55.410000,60.250000,54.860001,55.400002,53.893978,59232000
2016-01-01,55.400002,55.400002,45.349998,48.230000,46.918888,47174800
2016-02-01,47.889999,56.279999,47.450001,51.400002,50.640160,45395300
2016-03-01,51.500000,55.910000,50.770000,51.310001,50.551487,53242400
2016-04-01,51.000000,51.830002,47.410000,49.200001,48.582745,29018500
2016-05-01,48.980000,50.000000,44.700001,45.669998,45.097031,63600600
2016-06-01,45.790001,48.910000,42.810001,45.130001,44.563808,54762000
2016-07-01,45.400002,54.419998,45.290001,54.299999,53.618759,47003000
2016-08-01,54.299999,55.400002,51.180000,53.849998,53.849998,48557100
2016-09-01,53.490002,56.360001,51.349998,55.320000,55.320000,45742000
2016-10-01,55.049999,58.270000,51.529999,53.400002,53.400002,45689900
2016-11-01,53.509998,54.380001,48.349998,51.650002,51.650002,43467500
2016-12-01,50.930000,51.349998,45.830002,48.250000,48.250000,40581100
2017-01-01,48.029999,49.700001,43.860001,44.459999,44.459999,42356700
2017-02-01,44.790001,45.380001,38.910000,40.619999,40.619999,51084200
2017-03-01,41.000000,41.950001,32.720001,38.610001,38.610001,107322700
2017-04-01,38.599998,41.310001,37.060001,39.790001,39.790001,45265600
2017-05-01,39.790001,46.919998,37.500000,43.320000,43.320000,103372200
2017-06-01,43.720001,44.540001,38.250000,39.200001,39.200001,60090200
2017-07-01,39.500000,39.790001,36.330002,36.919998,36.919998,45013400
2017-08-01,37.080002,43.000000,36.750000,42.520000,42.520000,74974900
2017-09-01,43.849998,47.250000,43.220001,45.669998,45.669998,60502900
2017-10-01,45.849998,48.799999,43.279999,44.250000,44.250000,45766300
2017-11-01,44.660000,44.750000,38.349998,38.480000,38.480000,55178800
2017-12-01,38.200001,39.200001,35.160000,36.599998,36.599998,72269400
2018-01-01,36.599998,40.080002,35.330002,37.270000,37.270000,80073000
2018-02-01,35.419998,36.509998,28.100000,29.920000,29.920000,134601100
2018-03-01,30.400000,31.170000,22.160000,22.830000,22.830000,209824000
2018-04-01,22.940001,23.400000,21.299999,22.360001,22.360001,28982100
